num,full,hebrew,english
1,וַיֵּלֶךְ מֹשֶׁה וַיְדַבֵּר אֶת־הַדְּבָרִים הָאֵלֶּה אֶל־כׇּל־יִשְׂרָאֵל׃,וַיֵּלֶךְ מֹשֶׁה,And Moshe went
1,,וַיְדַבֵּר,and he spoke
1,,אֶת־הַדְּבָרִים הָאֵלֶּה,these words
1,,אֶל־כׇּל־יִשְׂרָאֵל,to all of Israel
2,וַיֹּאמֶר אֲלֵהֶם בֶּן־מֵאָה וְעֶשְׂרִים שָׁנָה אָנֹכִי הַיּוֹם לֹא־אוּכַל עוֹד לָצֵאת וְלָבוֹא וַיהֹוָה אָמַר אֵלַי לֹא תַעֲבֹר אֶת־הַיַּרְדֵּן הַזֶּה׃,וַיֹּאמֶר אֲלֵהֶם,And he said to them
2,,בֶּן־מֵאָה וְעֶשְׂרִים שָׁנָה,120 years old
2,,אָנֹכִי הַיּוֹם,I am today
2,,לֹא־אוּכַל עוֹד,I am not able any more
2,,לָצֵאת וְלָבוֹא,to go out or come in
2,,וַיהֹוָה אָמַר אֵלַי,and Hashem said to me
2,,לֹא תַעֲבֹר,you shall not cross
2,,אֶת־הַיַּרְדֵּן הַזֶּה,this Yarden
3,יְהֹוָה אֱלֹהֶיךָ הוּא עֹבֵר לְפָנֶיךָ הוּא־יַשְׁמִיד אֶת־הַגּוֹיִם הָאֵלֶּה מִלְּפָנֶיךָ וִירִשְׁתָּם יְהוֹשֻׁעַ הוּא עֹבֵר לְפָנֶיךָ כַּאֲשֶׁר דִּבֶּר יְהֹוָה׃,יְהֹוָה אֱלֹהֶיךָ,"Hashem your God,"
3,,הוּא עֹבֵר,He crosses
3,,לְפָנֶיךָ,before you
3,,הוּא־יַשְׁמִיד,He will destroy
3,,אֶת־הַגּוֹיִם הָאֵלֶּה,these nations
3,,מִלְּפָנֶיךָ,from before you
3,,וִירִשְׁתָּם,and you will inherit them
3,,יְהוֹשֻׁעַ,"Yehoshua,"
3,,הוּא עֹבֵר,he crosses
3,,לְפָנֶיךָ,before you
3,,כַּאֲשֶׁר,just like
3,,דִּבֶּר יְהֹוָה,Hashem has spoken
4,וְעָשָׂה יְהֹוָה לָהֶם כַּאֲשֶׁר עָשָׂה לְסִיחוֹן וּלְעוֹג מַלְכֵי הָאֱמֹרִי וּלְאַרְצָם אֲשֶׁר הִשְׁמִיד אֹתָם׃,וְעָשָׂה יְהֹוָה לָהֶם,And Hashem will do to them
4,,כַּאֲשֶׁר,just like
4,,עָשָׂה,He did
4,,לְסִיחוֹן וּלְעוֹג,"to Sichon and Og,"
4,,מַלְכֵי הָאֱמֹרִי,kings of the Emori
4,,וּלְאַרְצָם,and to their land
4,,אֲשֶׁר,that
4,,הִשְׁמִיד אֹתָם,He destroyed them
5,וּנְתָנָם יְהֹוָה לִפְנֵיכֶם וַעֲשִׂיתֶם לָהֶם כְּכׇל־הַמִּצְוָה אֲשֶׁר צִוִּיתִי אֶתְכֶם׃,וּנְתָנָם יְהֹוָה,And Hashem will give them
5,,לִפְנֵיכֶם,before you
5,,וַעֲשִׂיתֶם לָהֶם,and you shall do to them
5,,כְּכׇל־הַמִּצְוָה,like all the command
5,,אֲשֶׁר,that
5,,צִוִּיתִי אֶתְכֶם,I commanded you
6,חִזְקוּ וְאִמְצוּ אַל־תִּירְאוּ וְאַל־תַּעַרְצוּ מִפְּנֵיהֶם כִּי יְהֹוָה אֱלֹהֶיךָ הוּא הַהֹלֵךְ עִמָּךְ לֹא יַרְפְּךָ וְלֹא יַעַזְבֶךָּ׃,חִזְקוּ וְאִמְצוּ,Be strong and brave
6,,אַל־תִּירְאוּ וְאַל־תַּעַרְצוּ מִפְּנֵיהֶם,do not fear or be afraid of them
6,,כִּי יְהֹוָה אֱלֹהֶיךָ הוּא הַהֹלֵךְ עִמָּךְ,for Hashem your God goes with you
6,,לֹא יַרְפְּךָ וְלֹא יַעַזְבֶךָּ,He will not fail you or leave you
7,וַיִּקְרָא מֹשֶׁה לִיהוֹשֻׁעַ וַיֹּאמֶר אֵלָיו לְעֵינֵי כׇל־יִשְׂרָאֵל חֲזַק וֶאֱמָץ כִּי אַתָּה תָּבוֹא אֶת־הָעָם הַזֶּה אֶל־הָאָרֶץ אֲשֶׁר נִשְׁבַּע יְהֹוָה לַאֲבֹתָם לָתֵת לָהֶם וְאַתָּה תַּנְחִילֶנָּה אוֹתָם׃,וַיִּקְרָא מֹשֶׁה לִיהוֹשֻׁעַ,And Moshe called to Yehoshua
7,,וַיֹּאמֶר אֵלָיו לְעֵינֵי כׇל־יִשְׂרָאֵל,and said to him before all of Israel
7,,חֲזַק וֶאֱמָץ,be strong and brave
7,,כִּי אַתָּה תָּבוֹא אֶת־הָעָם הַזֶּה,for you will come with this people
7,,אֶל־הָאָרֶץ אֲשֶׁר נִשְׁבַּע יְהֹוָה לַאֲבֹתָם לָתֵת לָהֶם,to the land Hashem swore to their fathers to give them
7,,וְאַתָּה תַּנְחִילֶנָּה אוֹתָם,and you will make them inherit it
8,וַיהֹוָה הוּא הַהֹלֵךְ לְפָנֶיךָ הוּא יִהְיֶה עִמָּךְ לֹא יַרְפְּךָ וְלֹא יַעַזְבֶךָּ לֹא תִירָא וְלֹא תֵחָת׃,וַיהֹוָה הוּא הַהֹלֵךְ לְפָנֶיךָ,And Hashem goes before you
8,,הוּא יִהְיֶה עִמָּךְ,He will be with you
8,,לֹא יַרְפְּךָ וְלֹא יַעַזְבֶךָּ,He will not fail you or leave you
8,,לֹא תִירָא וְלֹא תֵחָת,do not fear or be broken
9,וַיִּכְתֹּב מֹשֶׁה אֶת־הַתּוֹרָה הַזֹּאת וַיִּתְּנָהּ אֶל־הַכֹּהֲנִים בְּנֵי לֵוִי הַנֹּשְׂאִים אֶת־אֲרוֹן בְּרִית יְהֹוָה וְאֶל־כׇּל־זִקְנֵי יִשְׂרָאֵל׃,וַיִּכְתֹּב מֹשֶׁה אֶת־הַתּוֹרָה הַזֹּאת,And Moshe wrote this Torah
9,,וַיִּתְּנָהּ אֶל־הַכֹּהֲנִים בְּנֵי לֵוִי,"and gave it to the Kohanim, sons of Levi"
9,,הַנֹּשְׂאִים אֶת־אֲרוֹן בְּרִית יְהֹוָה,who carry the Aron of Hashem's covenant
9,,וְאֶל־כׇּל־זִקְנֵי יִשְׂרָאֵל,and to all the elders of Israel
10,וַיְצַו מֹשֶׁה אוֹתָם לֵאמֹר מִקֵּץ שֶׁבַע שָׁנִים בְּמֹעֵד שְׁנַת הַשְּׁמִטָּה בְּחַג הַסֻּכּוֹת׃,וַיְצַו מֹשֶׁה אוֹתָם לֵאמֹר,"And Moshe commanded them, saying"
10,,מִקֵּץ שֶׁבַע שָׁנִים,at the end of seven years
10,,בְּמֹעֵד שְׁנַת הַשְּׁמִטָּה,at the time of the Shemittah year
10,,בְּחַג הַסֻּכּוֹת,on the festival of Sukkos
